text,label,register,rationale
"haa beta, very smart move",1,hi-en,"'haa beta' framing makes a clearly bad move sound approving"
"mast plan, ab toh sab kuch theek ho hi jayega",1,hi-en,"'sab kuch theek' said about an obviously failing plan"
"waah kya timing hai bhai",1,hi-en,"praising timing that was actually inconvenient"
"amazing service, only took them 3 emails to respond",1,en-IN,"'amazing' inverted by the qualifier that follows"
"arrey wah, train is on time today, kya baat hai",1,hi-en,"genuine surprise framed as praise — locals know trains usually aren't"
"great, another power cut. perfect.",1,en-IN,"'perfect' for an outage — classic contrast"
"bilkul perfect timing yaar, exam ke ek din pehle hi server crash",1,hi-en,"perfect timing said about catastrophic timing"
"oh wow, autorickshaw meter actually working today, kya scene",1,hi-en,"surprise at a basic thing working = sarcasm in this context"
"yeah right, like Mumbai traffic will let me reach on time",1,en-IN,"'yeah right' negates the surface meaning"
"matlab kamaal hai, fees badhi hai but no improvement",1,hi-en,"'kamaal' used to mock a bad outcome"
"bahut accha kiya bhai, ab sab problems solve ho gayi",1,hi-en,"sarcasm via overstated approval of a non-solution"
"sure boss, 'just 5 minutes' from delivery guy means 45",1,en-IN,"'sure' + the explicit gap reveals irony"
"great, my favorite — Monday morning meetings",1,en-IN,"calling something one's favorite when it isn't"
"obviously the food will be delivered cold, what else",1,en-IN,"'obviously' + 'what else' carry the resignation"
"ek toh ye traffic, upar se itni garmi, mazaa hi aa raha hai",1,hi-en,"'mazaa aa raha hai' said about suffering"
"very impressive, server down for the 4th time this week",1,en-IN,"'impressive' for a repeated failure"
"obviously the announcement comes after I bought the ticket",1,en-IN,"'obviously' frames bad luck as predictable mockery"
"wow such politeness, the auto driver just doubled his rate",1,en-IN,"'wow such politeness' for an opposite behavior"
"kitna shaandar hai ye, internet phir se gaya",1,hi-en,"'shaandar' (excellent) for the internet dropping again"
"ekdum first class, electricity bill doubled with no usage change",1,hi-en,"'first class' praise for an obviously unfair outcome"
"nice — meeting moved AGAIN at the last minute, very organized",1,en-IN,"'very organized' contradicted by the immediately preceding fact"
"great way to start Monday, train cancelled",1,en-IN,"'great way to start' a Monday with cancelled transit"
"love how every delivery app shows 5 min then takes 50",1,en-IN,"'love how' said about a chronic annoyance"
"obviously the WiFi works fine until I open Zoom",1,en-IN,"'obviously' makes the misfortune sound like a punchline"
"arrey toh kya hua, only 3 hours late, normal hai",1,hi-en,"'normal hai' minimising a real problem = sarcasm"
"Got my first chai of the day, feeling good",0,en-IN,"plain positive statement, no irony cues"
"The new metro line opened today, very useful",0,en-IN,"genuine appreciation, no contradiction"
"Looking forward to Diwali with the family",0,en-IN,"sincere anticipation"
"Mumbai local was on time today, surprised but happy",0,en-IN,"surprise framed as genuine, not as mockery"
"Submitted my assignment for the semester",0,en-IN,"factual update, no evaluative twist"
"Made paneer butter masala at home, turned out great",0,en-IN,"sincere positive — 'turned out' confirms outcome matches the claim"
"Heading to Bangalore for a friend's wedding next week",0,en-IN,"factual travel plan"
"Just finished a long run, feeling refreshed",0,en-IN,"sincere positive about exercise"
"The monsoon has been lovely this year",0,en-IN,"reads literally; no contrary indicator"
"Picked up my new bike today, finally",0,en-IN,"genuine satisfaction; 'finally' marks anticipation not irony"
"Spoke to my mentor over coffee, useful conversation",0,en-IN,"factual + mild positive evaluation"
"The new restaurant near my office is actually good",0,en-IN,"'actually good' is positive — the contrast is to expectation, not reality"
"Reading a book on Indian classical music, fascinating",0,en-IN,"sincere appreciation"
"Started learning Tabla last month, slow progress",0,en-IN,"honest self-assessment, no contradiction"
"Diwali shopping is mostly done, just gifts left",0,en-IN,"status update, neutral tone"
"The view from my balcony at sunrise is amazing",0,en-IN,"genuine positive observation"
"Cleared my driving test on the first attempt",0,en-IN,"factual achievement"
"My cousin's wedding photos came out beautifully",0,en-IN,"sincere positive"
"Met an old college friend at the airport today",0,en-IN,"factual + mild positive"
"Festival season makes the city look so vibrant",0,en-IN,"sincere observation"
"Got selected for the placement, finally feels real",0,en-IN,"genuine happy update"
"Long weekend coming up, planning a trek",0,en-IN,"plain plan announcement"
"Tried the new biryani place, will go again",0,en-IN,"sincere positive review"
"My sister cracked NEET, very proud of her",0,en-IN,"genuine pride"
"Spent the morning walking by the beach in Chennai",0,en-IN,"factual + positive context"
